colour	y	x	key	tooltip	showSelected1	showSelected2	fill
#FF0000	48.75659431	2.206465776	bievres (91064), essonne (91), Île-de-France	bievres (91064), essonne (91), Île-de-France	2009-04-09:18:11:56	nearby cities	#FF0000
#FF0000	48.796455388	2.254300971	clamart (92023), hauts-de-seine (92), Île-de-France	clamart (92023), hauts-de-seine (92), Île-de-France	2009-04-09:18:11:56	nearby cities	#FF0000
#FF0000	48.796455388	2.254300971	clamart (92023), hauts-de-seine (92), Île-de-France	clamart (92023), hauts-de-seine (92), Île-de-France	2009-04-09:18:11:56	nearby cities	#FF0000
#FF0000	48.815232931	2.317223763	montrouge (92049), hauts-de-seine (92), Île-de-France	montrouge (92049), hauts-de-seine (92), Île-de-France	2009-04-09:18:11:56	nearby cities	#FF0000
#FF0000	48.780251597	2.25980883	le plessis robinson (92060), hauts-de-seine (92), Île-de-France	le plessis robinson (92060), hauts-de-seine (92), Île-de-France	2009-04-09:18:11:56	nearby cities	#FF0000
#FF0000	48.813266743	2.344190973	gentilly (94037), val-de-marne (94), Île-de-France	gentilly (94037), val-de-marne (94), Île-de-France	2009-04-09:18:11:56	nearby cities	#FF0000
#FF0000	48.80363284	2.288340335	chatillon (92020), hauts-de-seine (92), Île-de-France	chatillon (92020), hauts-de-seine (92), Île-de-France	2009-04-09:18:11:56	nearby cities	#FF0000
#FF0000	48.816575085	2.296075861	malakoff (92046), hauts-de-seine (92), Île-de-France	malakoff (92046), hauts-de-seine (92), Île-de-France	2009-04-09:18:11:56	nearby cities	#FF0000
#FF0000	48.780251597	2.25980883	le plessis robinson (92060), hauts-de-seine (92), Île-de-France	le plessis robinson (92060), hauts-de-seine (92), Île-de-France	2009-04-09:18:11:56	nearby cities	#FF0000
#FF0000	48.696591847	2.561137172	perigny sur yerres (94056), val-de-marne (94), Île-de-France	perigny sur yerres (94056), val-de-marne (94), Île-de-France	2009-04-11:09:52:48	nearby cities	#FF0000
#FF0000	48.720848417	2.531345894	villecresnes (94075), val-de-marne (94), Île-de-France	villecresnes (94075), val-de-marne (94), Île-de-France	2009-04-11:09:52:48	nearby cities	#FF0000
#FF0000	48.773381326	2.487751746	bonneuil sur marne (94011), val-de-marne (94), Île-de-France	bonneuil sur marne (94011), val-de-marne (94), Île-de-France	2009-04-11:09:52:48	nearby cities	#FF0000
#FF0000	48.783768446	2.454728618	creteil (94028), val-de-marne (94), Île-de-France	creteil (94028), val-de-marne (94), Île-de-France	2009-04-11:09:52:48	nearby cities	#FF0000
#FF0000	48.70599764	2.548010574	mandres les roses (94047), val-de-marne (94), Île-de-France	mandres les roses (94047), val-de-marne (94), Île-de-France	2009-04-11:09:52:48	nearby cities	#FF0000
#FF0000	48.747047399	2.525046124	boissy st leger (94004), val-de-marne (94), Île-de-France	boissy st leger (94004), val-de-marne (94), Île-de-France	2009-04-11:09:52:48	nearby cities	#FF0000
#FF0000	48.813266743	2.344190973	gentilly (94037), val-de-marne (94), Île-de-France	gentilly (94037), val-de-marne (94), Île-de-France	2009-04-11:15:51:05	nearby cities	#FF0000
#FF0000	48.806206275	2.438053127	maisons alfort (94046), val-de-marne (94), Île-de-France	maisons alfort (94046), val-de-marne (94), Île-de-France	2009-04-11:15:51:05	nearby cities	#FF0000
#FF0000	48.696591847	2.561137172	perigny sur yerres (94056), val-de-marne (94), Île-de-France	perigny sur yerres (94056), val-de-marne (94), Île-de-France	2009-04-11:15:51:05	nearby cities	#FF0000
#FF0000	48.818390376	2.437334691	st maurice (94069), val-de-marne (94), Île-de-France	st maurice (94069), val-de-marne (94), Île-de-France	2009-04-11:15:51:05	nearby cities	#FF0000
#FF0000	48.720848417	2.531345894	villecresnes (94075), val-de-marne (94), Île-de-France	villecresnes (94075), val-de-marne (94), Île-de-France	2009-04-11:15:51:05	nearby cities	#FF0000
#FF0000	48.828424546	2.362253766	paris (75113), paris (75), Île-de-France	paris (75113), paris (75), Île-de-France	2009-04-11:15:51:05	nearby cities	#FF0000
#FF0000	48.773381326	2.487751746	bonneuil sur marne (94011), val-de-marne (94), Île-de-France	bonneuil sur marne (94011), val-de-marne (94), Île-de-France	2009-04-11:15:51:05	nearby cities	#FF0000
#FF0000	48.783768446	2.454728618	creteil (94028), val-de-marne (94), Île-de-France	creteil (94028), val-de-marne (94), Île-de-France	2009-04-11:15:51:05	nearby cities	#FF0000
#FF0000	48.70599764	2.548010574	mandres les roses (94047), val-de-marne (94), Île-de-France	mandres les roses (94047), val-de-marne (94), Île-de-France	2009-04-11:15:51:05	nearby cities	#FF0000
#FF0000	48.747047399	2.525046124	boissy st leger (94004), val-de-marne (94), Île-de-France	boissy st leger (94004), val-de-marne (94), Île-de-France	2009-04-11:15:51:05	nearby cities	#FF0000
#FF0000	48.822572708	2.406597157	charenton le pont (94018), val-de-marne (94), Île-de-France	charenton le pont (94018), val-de-marne (94), Île-de-France	2009-04-11:15:51:05	nearby cities	#FF0000
#FF0000	48.8122892	2.387712363	ivry sur seine (94041), val-de-marne (94), Île-de-France	ivry sur seine (94041), val-de-marne (94), Île-de-France	2009-04-11:15:51:05	nearby cities	#FF0000
#FF0000	48.86287791	2.3599986	paris (75103), paris (75), Île-de-France	paris (75103), paris (75), Île-de-France	2009-04-13:11:59:58	nearby cities	#FF0000
#FF0000	48.859054908	2.380025153	paris (75111), paris (75), Île-de-France	paris (75111), paris (75), Île-de-France	2009-04-13:11:59:58	nearby cities	#FF0000
#FF0000	48.876129334	2.360715102	paris (75110), paris (75), Île-de-France	paris (75110), paris (75), Île-de-France	2009-04-13:11:59:58	nearby cities	#FF0000
#FF0000	48.854350603	2.357625608	paris (75104), paris (75), Île-de-France	paris (75104), paris (75), Île-de-France	2009-04-13:11:59:58	nearby cities	#FF0000
#FF0000	48.844452823	2.350706645	paris (75105), paris (75), Île-de-France	paris (75105), paris (75), Île-de-France	2009-04-13:16:39:34	nearby cities	#FF0000
#FF0000	48.813266743	2.344190973	gentilly (94037), val-de-marne (94), Île-de-France	gentilly (94037), val-de-marne (94), Île-de-France	2009-04-13:16:39:34	nearby cities	#FF0000
#FF0000	48.828424546	2.362253766	paris (75113), paris (75), Île-de-France	paris (75113), paris (75), Île-de-France	2009-04-13:16:39:34	nearby cities	#FF0000
#FF0000	48.854350603	2.357625608	paris (75104), paris (75), Île-de-France	paris (75104), paris (75), Île-de-France	2009-04-13:16:39:34	nearby cities	#FF0000
#FF0000	48.765889291	2.163600257	jouy en josas (78322), yvelines (78), Île-de-France	jouy en josas (78322), yvelines (78), Île-de-France	2009-04-21:06:54:34	nearby cities	#FF0000
#FF0000	48.75659431	2.206465776	bievres (91064), essonne (91), Île-de-France	bievres (91064), essonne (91), Île-de-France	2009-04-21:06:54:34	nearby cities	#FF0000
