colour	y	x	key	label	showSelected1	showSelected2	showSelected3	group
#FF0000	48.3	1	start	start: jouy en josas (78322), yvelines (78), Île-de-France	2009-04-09:18:11:56	start	nearby cities	112
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-04-09:18:11:56	end	nearby cities	1
#FF0000	48.3	1	start	start: creteil (94028), val-de-marne (94), Île-de-France	2009-04-11:09:52:48	start	nearby cities	113
#FF0000	48.2	1	end	end: perigny sur yerres (94056), val-de-marne (94), Île-de-France	2009-04-11:09:52:48	end	nearby cities	2
#FF0000	48.3	1	start	start: perigny sur yerres (94056), val-de-marne (94), Île-de-France	2009-04-11:15:51:05	start	nearby cities	114
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-04-11:15:51:05	end	nearby cities	3
#FF0000	48.3	1	start	start: paris (75104), paris (75), Île-de-France	2009-04-13:11:59:58	start	nearby cities	115
#FF0000	48.2	1	end	end: paris (75110), paris (75), Île-de-France	2009-04-13:11:59:58	end	nearby cities	4
#FF0000	48.3	1	start	start: paris (75105), paris (75), Île-de-France	2009-04-13:16:39:34	start	nearby cities	116
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-04-13:16:39:34	end	nearby cities	5
#FF0000	48.3	1	start	start: paris (75114), paris (75), Île-de-France	2009-04-21:06:54:34	start	nearby cities	117
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-04-21:06:54:34	end	nearby cities	6
#FF0000	48.3	1	start	start: bievres (91064), essonne (91), Île-de-France	2009-04-21:17:04:43	start	nearby cities	118
#FF0000	48.2	1	end	end: paris (75113), paris (75), Île-de-France	2009-04-21:17:04:43	end	nearby cities	7
#FF0000	48.3	1	start	start: montrouge (92049), hauts-de-seine (92), Île-de-France	2009-04-22:07:22:38	start	nearby cities	119
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-04-22:07:22:38	end	nearby cities	8
#FF0000	48.3	1	start	start: jouy en josas (78322), yvelines (78), Île-de-France	2009-04-22:17:10:06	start	nearby cities	120
